slug	dbName	displayName	category	tag	subtitle	description	theme	sameFilmAs
element	Element	Element Series	architectural	STANDARD CERAMIC	เทคโนโลยี Ceramic Film ระดับเริ่มต้น ดำเข้มสนิท สัญญาณผ่านสะดวก 100%	ฟิล์มกรองแสงเซรามิคคุณภาพระดับมาตรฐาน ดำเข้มสนิทจากภายนอก ให้ความเป็นส่วนตัวสูง สัญญาณผ่านได้สะดวก เหมาะสำหรับผู้ที่ต้องการความคุ้มค่าและประสิทธิภาพการกรองแสงแดดที่เป็นเลิศ	slate	
shield	Shield	Shield Series	architectural	NANO CERAMIC SHIELD	เทคโนโลยี Nano Ceramic Film ระดับพรีเมียม ป้องกันรังสีอินฟราเรดสูง 90%	ฟิล์มกรองแสงนาโนเซรามิคที่ออกแบบมาเพื่อสกัดรังสีความร้อนอินฟราเรด (IRR) สูงสุดถึง 90% ให้ความมืดเงียบสงบเป็นส่วนตัวและทัศนวิสัยส่องสว่างชัดเจนจากภายในตัวบ้านหรืออาคาร	emerald	
zenith	Zenith	Zenith Series	architectural	PREMIUM NANO CERAMIC	เทคโนโลยี Premium Nano Ceramic Film บล็อกความร้อนหนาแน่นและทนทานพิเศษ	สุดยอดฟิล์มกรองแสงเซรามิคเกรดสูงสุด ใช้อนุภาคนาโนเซรามิคหนาแน่นพิเศษสกัดกั้นพลังงานความร้อนอินฟราเรดสะสมได้ถึง 93% มอบเสถียรภาพสีกาวและประสิทธิภาพยาวนานเป็นพิเศษ	purple	vanguard
nexus	Nexus	Nexus Series	architectural	SPUTTERED PERFORMANCE	เทคโนโลยี Sputtering Film สะท้อนรังสีความร้อนโลหะหลายชั้น ประหยัดพลังงานดีเยี่ยม	ฟิล์มกรองแสงสปัตเตอร์สุญญากาศ เคลือบอนุภาคโลหะหลายชั้นเพื่อทำหน้าที่สะท้อนพลังงานความร้อนแดดออกจากหน้าต่างทันทีก่อนพัดเข้าสู่ห้อง มอบการประหยัดพลังงานแอร์อย่างโดดเด่น	accent	matrix
apex	Apex	Apex Series	architectural	ULTIMATE NANO SPUTTERED	เทคโนโลยี Nano Sputtering Film เคลือบทองคำและโลหะมีค่า สะท้อนความร้อนขีดสุด 80%	ที่สุดแห่งนวัตกรรมฟิล์มสปัตเตอร์ระดับไฮเอนด์ เคลือบทองคำ เงิน และไทเทเนียมระดับนาโนเมตร สะท้อนความร้อนอินฟราเรดสูงสุดถึง 95% และลดความร้อนรวมได้สูงสุดถึง 80% ป้องกันแอร์ทำงานหนักได้อย่างเด็ดขาด	amber	stellar
guardian	Guardian	Guardian Series	architectural	UHD CERAMIC SHIELD	เทคโนโลยี UHD Ceramic เกรดพิเศษ สว่างเคลียร์ใส และป้องกัน UV 100%	ฟิล์มกรองแสงเซรามิคเกรดพิเศษสุดคมชัด UHD Ceramic โดดเด่นด้วยประสิทธิภาพในการป้องกันรังสี UV ได้ 100% สกัดรังสีความร้อนได้ดีเยี่ยม ให้ความสว่างใสคมชัดสูงสุดและปกป้องผิวของทุกคนในครอบครัว	blue	
vanguard	Vanguard	Vanguard Series	automotive	PREMIUM NANO CERAMIC · PNC	ฟิล์มนาโนเซรามิกสำหรับรถยนต์ กันรังสีอินฟราเรดช่วง 1000-1700 nm ได้ 93%	ฟิล์มกรองแสงรถยนต์นาโนเซรามิกเกรดพรีเมียม กันรังสี UV 99% สกัดรังสีอินฟราเรดช่วง 900-1000 นาโนเมตรได้ 90% และช่วง 1000-1700 นาโนเมตรได้ 93% ทุกระดับความเข้ม ลดความร้อนรวมได้ 65-73% ความหนา 2 มิล (50 ไมครอน)	graphite	zenith
metallique	Metallique	Metallique Series	automotive	CERAMIC + TITANIUM SPUTTERING · RT	สปัตเตอร์เซรามิกผสมไทเทเนียม กันอินฟราเรด 99% ทุกช่วงคลื่นและทุกระดับความเข้ม	ฟิล์มกรองแสงรถยนต์สปัตเตอร์เคลือบเซรามิกผสมไทเทเนียม เป็นซีรีส์เดียวที่กันรังสีอินฟราเรดได้ 99% ทั้งช่วง 900-1000 และ 1000-1700 นาโนเมตร กันรังสี UV 99% ลดความร้อนรวมได้ 65-86% ความหนา 2 มิล (50 ไมครอน)	titanium	
matrix	Matrix	Matrix Series	automotive	SPUTTERING FILM · SC	ฟิล์มสปัตเตอร์ห้าระดับความเข้ม ตั้งแต่ใสสว่าง 70% ไปจนถึงเข้มสุด 7%	ฟิล์มกรองแสงรถยนต์สปัตเตอร์ที่ให้ช่วงความเข้มกว้างที่สุดในไลน์ ตั้งแต่ระดับใสสว่าง VLT 70% สำหรับกระจกหน้า ไปจนถึงเข้มสุด 7% กันรังสี UV 99% และอินฟราเรดช่วง 1000-1700 นาโนเมตร 93% ลดความร้อนรวมได้ 45-75% ความหนา 2 มิล (50 ไมครอน)	sky	nexus
stellar	Stellar	Stellar Series	automotive	NANO SPUTTERING FILM · VSN	นาโนสปัตเตอร์ กันอินฟราเรดช่วงยาว 95% ลดความร้อนรวมสูงสุด 80%	ฟิล์มกรองแสงรถยนต์นาโนสปัตเตอร์ระดับสูงสุดของไลน์รถยนต์ กันรังสีอินฟราเรดช่วง 1000-1700 นาโนเมตรได้ 95% ซึ่งเป็นช่วงคลื่นที่พาความร้อนเข้าห้องโดยสารมากที่สุด กันรังสี UV 99% ลดความร้อนรวมได้ 50-80% มีให้เลือกห้าระดับความเข้ม ความหนา 2 มิล (50 ไมครอน)	violet	apex
crystalux	Crystalux	Crystalux Series	automotive	CRYSTAL MONTAGE · CS	ยังไม่เปิดเผยค่าสเปก — อยู่ระหว่างรวบรวมข้อมูลจากผู้ผลิต	ฟิล์มกรองแสงรถยนต์เทคโนโลยี Crystal Montage ขณะนี้อยู่ระหว่างรวบรวมค่าสเปกอย่างเป็นทางการ หน้านี้จะอัปเดตทันทีที่ข้อมูลพร้อม	cyan	
